LandisData "ForC Succession"

ClimateTable  << only MAT for each ecoregion
>>Time	Eco	AvgT	
>>Step		(C)	
>>-------------------------
0	eco1LOSA	2.35
0	eco1SALO	2.35
0	eco2SALO	1.25
0	eco3LOSA	1.01
0	eco3SALO	1.01
0	eco4LOSA	0.03
0	eco4SALO	0.03
0	eco5LOSA	-1.23
0	eco5SALO	-1.23
0	eco6LOSA	-0.76
0	eco6SALO	-0.76
0	eco7LOSA	-1.99
0	eco7SALO	-1.99
0	eco8LOSA	-2.25
0	eco8SALO	-2.25
0	eco9LOSA	-2.55
0	eco9SALO	-2.55
0	eco10LOSA	-2.11
0	eco10SALO	-2.11
2	eco1LOSA	4.45
2	eco1SALO	4.45
2	eco2SALO	3.53
2	eco3LOSA	3.23
2	eco3SALO	3.23
2	eco4LOSA	2.47
2	eco4SALO	2.47
2	eco5LOSA	1.45
2	eco5SALO	1.45
2	eco6LOSA	1.95
2	eco6SALO	1.95
2	eco7LOSA	0.88
2	eco7SALO	0.88
2	eco8LOSA	0.68
2	eco8SALO	0.68
2	eco9LOSA	0.42
2	eco9SALO	0.42
2	eco10LOSA	0.73
2	eco10SALO	0.73
30	eco1LOSA	6.79
30	eco1SALO	6.79
30	eco2SALO	5.87
30	eco3LOSA	5.61
30	eco3SALO	5.61
30	eco4LOSA	4.87
30	eco4SALO	4.87
30	eco5LOSA	3.87
30	eco5SALO	3.87
30	eco6LOSA	4.36
30	eco6SALO	4.36
30	eco7LOSA	3.34
30	eco7SALO	3.34
30	eco8LOSA	3.13
30	eco8SALO	3.13
30	eco9LOSA	2.90
30	eco9SALO	2.90
30	eco10LOSA	3.16
30	eco10SALO	3.16
60	eco1LOSA	8.78
60	eco1SALO	8.78
60	eco2SALO	7.88
60	eco3LOSA	7.64
60	eco3SALO	7.64
60	eco4LOSA	6.92
60	eco4SALO	6.92
60	eco5LOSA	5.95
60	eco5SALO	5.95
60	eco6LOSA	6.42
60	eco6SALO	6.42
60	eco7LOSA	5.45
60	eco7SALO	5.45
60	eco8LOSA	5.23
60	eco8SALO	5.23
60	eco9LOSA	5.02
60	eco9SALO	5.02
60	eco10LOSA	5.24
60	eco10SALO	5.24

