LandisData "ForC Succession"

ClimateTable  << only MAT for each ecoregion
>>Time	Eco	AvgT	
>>Step		(C)	
>>-------------------------
0	eco1LOSA	2.35
0	eco1SALO	2.35
0	eco2SALO	1.25
0	eco3LOSA	1.01
0	eco3SALO	1.01
0	eco4LOSA	0.03
0	eco4SALO	0.03
0	eco5LOSA	-1.23
0	eco5SALO	-1.23
0	eco6LOSA	-0.76
0	eco6SALO	-0.76
0	eco7LOSA	-1.99
0	eco7SALO	-1.99
0	eco8LOSA	-2.25
0	eco8SALO	-2.25
0	eco9LOSA	-2.55
0	eco9SALO	-2.55
0	eco10LOSA	-2.11
0	eco10SALO	-2.11
2	eco1LOSA	4.06
2	eco1SALO	4.06
2	eco2SALO	3.20
2	eco3LOSA	2.94
2	eco3SALO	2.94
2	eco4LOSA	2.23
2	eco4SALO	2.23
2	eco5LOSA	1.30
2	eco5SALO	1.30
2	eco6LOSA	1.76
2	eco6SALO	1.76
2	eco7LOSA	0.78
2	eco7SALO	0.78
2	eco8LOSA	0.60
2	eco8SALO	0.60
2	eco9LOSA	0.35
2	eco9SALO	0.35
2	eco10LOSA	0.63
2	eco10SALO	0.63
30	eco1LOSA	5.67
30	eco1SALO	5.67
30	eco2SALO	4.82
30	eco3LOSA	4.59
30	eco3SALO	4.59
30	eco4LOSA	3.89
30	eco4SALO	3.89
30	eco5LOSA	2.98
30	eco5SALO	2.98
30	eco6LOSA	3.43
30	eco6SALO	3.43
30	eco7LOSA	2.48
30	eco7SALO	2.48
30	eco8LOSA	2.29
30	eco8SALO	2.29
30	eco9LOSA	2.07
30	eco9SALO	2.07
30	eco10LOSA	2.32
30	eco10SALO	2.32
60	eco1LOSA	6.65
60	eco1SALO	6.65
60	eco2SALO	5.81
60	eco3LOSA	5.59
60	eco3SALO	5.59
60	eco4LOSA	4.90
60	eco4SALO	4.90
60	eco5LOSA	4.00
60	eco5SALO	4.00
60	eco6LOSA	4.46
60	eco6SALO	4.46
60	eco7LOSA	3.53
60	eco7SALO	3.53
60	eco8LOSA	3.34
60	eco8SALO	3.34
60	eco9LOSA	3.12
60	eco9SALO	3.12
60	eco10LOSA	3.34
60	eco10SALO	3.34
